period,mode,alpha,sigma,alpha_market,alpha_err,mse,improvement_pct,n_buy,n_sell,signal_strength,avg_buy_dev,avg_sell_dev
17,G-H,0.837956,0.174357,0.9067849088160695,0.06882890881606951,2.351e-05,55.205,21,28,49,24.007526391144495,-23.312194553618706
17,Smile,0.844844,0.175661,0.9067849088160695,0.061940908816069506,2.291e-05,56.344,22,27,49,23.97221997343835,-23.72725215141532
18,ET(旧),0.863104,0.193308,0.92549937053668,0.062395370536679984,2.241e-05,47.067,30,29,59,12.345928453286719,-10.920771215554545
18,G-H,0.872652,0.197322,0.92549937053668,0.05284737053667998,2.331e-05,44.943,29,29,58,12.038150117822903,-9.991617935674286
18,Smile,0.876082,0.198209,0.92549937053668,0.04941737053667994,2.337e-05,44.798,29,29,58,11.07126214685892,-10.913961241156779
19,ET(旧),0.856991,0.190323,0.947775033598529,0.09078403359852905,2.442e-05,47.777,30,28,58,10.438672983582212,-10.433785995160914
19,G-H,0.859047,0.193031,0.947775033598529,0.08872803359852899,2.386e-05,48.979,30,28,58,11.36768172578049,-9.513165933115861
19,Smile,0.856398,0.192437,0.947775033598529,0.091377033598529,2.367e-05,49.385,30,29,59,10.282550954123677,-10.418542534280137
20,ET(旧),0.791476,0.185395,0.852109369477736,0.06063336947773601,3.103e-05,62.12,27,29,56,11.271444677956246,-9.273476100746567
20,G-H,0.809851,0.191809,0.852109369477736,0.04225836947773598,3.541e-05,56.783,27,28,55,12.289950594273652,-8.02532719763452
20,Smile,0.822775,0.194449,0.852109369477736,0.029334369477735933,3.288e-05,59.873,28,27,55,10.172437153260777,-9.21733075847212
21,ET(旧),0.757907,0.180686,0.8577868928514087,0.09987989285140875,2.596e-05,74.548,27,27,54,7.342248251700287,-7.842769057830676
21,G-H,0.775494,0.187294,0.8577868928514087,0.08229289285140873,2.813e-05,72.415,25,28,53,9.550852869949948,-6.606319086949079
21,Smile,0.78179,0.188701,0.8577868928514087,0.07599689285140876,2.617e-05,74.341,27,28,55,7.665259780970781,-8.18206633578881
22,ET(旧),0.840169,0.170419,0.8760576974490761,0.03588869744907608,2.94e-05,44.615,15,22,37,27.845362476452035,-27.611822715071376
22,G-H,0.837538,0.172298,0.8760576974490761,0.03851969744907613,2.739e-05,48.415,15,23,38,28.19072583917046,-27.32095564670007
22,Smile,0.831278,0.171054,0.8760576974490761,0.04477969744907617,2.678e-05,49.555,15,22,37,27.848510388987343,-28.03983035525113
23,ET(旧),0.782944,0.194154,0.836122647682272,0.053178647682271984,1.89e-05,76.472,29,33,62,12.3821322551497,-11.918280206599286
23,G-H,0.807484,0.202226,0.836122647682272,0.028638647682271978,2.702e-05,66.363,30,33,63,13.758210559824521,-10.825993735701354
23,Smile,0.820565,0.205156,0.836122647682272,0.015557647682271969,2.213e-05,72.451,30,33,63,12.473874623983397,-13.309926939306571
24,ET(旧),0.760258,0.178543,0.8385718392844378,0.0783138392844378,3.366e-05,69.32,21,27,48,26.04217440342624,-25.979930640068737
24,G-H,0.768537,0.183402,0.8385718392844378,0.07003483928443777,3.536e-05,67.764,20,28,48,26.5210066185846,-25.232082910242067
24,Smile,0.773707,0.184331,0.8385718392844378,0.06486483928443776,3.533e-05,67.794,21,29,50,26.13869261719861,-26.709462030572276
25,ET(旧),0.870547,0.167805,0.9238134782162628,0.05326647821626285,2.203e-05,41.453,27,28,55,8.860669657711584,-9.368982300896912
25,G-H,0.878183,0.17079,0.9238134782162628,0.04563047821626276,2.32e-05,38.328,26,29,55,9.922447589792228,-8.552289676214176
25,Smile,0.878763,0.170888,0.9238134782162628,0.045050478216262846,2.32e-05,38.319,27,27,54,8.725171633302134,-9.603084592430983
26,ET(旧),0.883895,0.169843,0.930298910128448,0.04640391012844802,1.428e-05,43.892,8,12,20,31.24619257231081,-31.633769159314024
26,G-H,0.891553,0.172674,0.930298910128448,0.03874591012844797,1.521e-05,40.214,8,14,22,31.23266857633449,-32.44048279761365
26,Smile,0.901097,0.174497,0.930298910128448,0.029201910128447972,1.413e-05,44.486,8,14,22,31.377806829550018,-32.79066497304397
27,ET(旧),0.86341,0.171511,0.9358294624798512,0.0724194624798512,2.16e-05,46.351,20,25,45,26.719784899369653,-25.945021716208938
27,G-H,0.862182,0.173251,0.9358294624798512,0.07364746247985121,2.032e-05,49.516,20,26,46,27.19887314768001,-25.822058368421757
27,Smile,0.865171,0.173842,0.9358294624798512,0.07065846247985119,2.015e-05,49.939,20,26,46,26.798778842033407,-26.526601740912213
28,ET(旧),0.845272,0.192722,0.9438545230574189,0.09858252305741888,2.46e-05,51.391,21,25,46,26.399351142550966,-24.032566394866762
28,G-H,0.851171,0.196391,0.9438545230574189,0.09268352305741889,2.383e-05,52.902,21,25,46,26.997217866445297,-23.08886381305615
28,Smile,0.851329,0.196439,0.9438545230574189,0.0925255230574189,2.383e-05,52.905,21,25,46,26.412149401478455,-24.123022977325686
29,ET(旧),0.812935,0.17441,0.8966382071931055,0.08370320719310553,2.487e-05,59.823,30,28,58,11.590747344976268,-10.545359203974582
29,G-H,0.826886,0.17936,0.8966382071931055,0.06975220719310549,2.859e-05,53.818,30,28,58,12.473177244437144,-9.324519046719155
29,Smile,0.851836,0.183979,0.8966382071931055,0.04480220719310546,2.758e-05,55.444,30,28,58,10.677515950207614,-9.987203279174437
30,ET(旧),0.898541,0.190577,0.9148359324171162,0.016294932417116215,2.253e-05,31.784,16,20,36,28.48449299060739,-28.206833887759437
30,G-H,0.908219,0.193937,0.9148359324171162,0.00661693241711625,2.379e-05,27.947,16,22,38,28.792270075765177,-28.923309625825155
30,Smile,0.914594,0.195337,0.9148359324171162,0.0002419324171162307,2.301e-05,30.314,16,20,36,28.574882164239,-28.35156849269082
31,ET(旧),0.772973,0.163829,0.8379444550534015,0.06497145505340152,1.749e-05,75.752,30,28,58,12.079414582131257,-10.426538502151745
31,G-H,0.782858,0.168278,0.8379444550534015,0.055086455053401484,1.835e-05,74.568,27,28,55,14.154072666752343,-8.97665892310034
31,Smile,0.790667,0.169807,0.8379444550534015,0.04727745505340153,1.691e-05,76.555,30,28,58,11.476160084517497,-10.152405336377443
32,ET(旧),0.877015,0.18427,0.9431243742016778,0.06610937420167784,2.263e-05,40.385,28,29,57,22.51256377718639,-20.496535170845853
32,G-H,0.87655,0.186098,0.9431243742016778,0.06657437420167778,2.157e-05,43.188,28,29,57,23.284858875933768,-19.749100234837695
32,Smile,0.881933,0.187222,0.9431243742016778,0.06119137420167786,2.106e-05,44.547,28,29,57,22.327613242237963,-20.639722469803186
33,ET(旧),0.797604,0.181838,0.865296934024418,0.067692934024418,2.695e-05,64.132,28,28,56,9.146792792893871,-9.317884410965897
33,G-H,0.818314,0.188438,0.865296934024418,0.046982934024418,3.333e-05,55.63,31,28,59,10.071594463053328,-8.652901723785051
33,Smile,0.825534,0.19003,0.865296934024418,0.039762934024417995,3.177e-05,57.717,28,28,56,9.255356568651994,-9.975882121969576
34,ET(旧),0.820168,0.193776,0.9188221714822683,0.0986541714822683,3.116e-05,55.809,11,12,23,6.104646810040862,-6.310280833336686
34,G-H,0.828146,0.19824,0.9188221714822683,0.09067617148226825,3.154e-05,55.28,12,12,24,7.728929177754702,-4.473053509711382
34,Smile,0.836431,0.200105,0.9188221714822683,0.08239117148226827,2.98e-05,57.739,11,12,23,5.431742612373522,-6.262466246811205
35,ET(旧),0.838708,0.180407,0.8767390856329697,0.03803108563296964,2.641e-05,49.248,21,25,46,25.46593624874501,-23.779944299358508
35,G-H,0.844601,0.183886,0.8767390856329697,0.032138085632969604,2.682e-05,48.455,20,26,46,25.204881627790353,-23.43450224551302
35,Smile,0.847923,0.184588,0.8767390856329697,0.028816085632969668,2.635e-05,49.363,22,25,47,26.134159711208735,-23.663846143284104
36,ET(旧),0.79904,0.186627,0.8485108116478788,0.04947081164787881,1.543e-05,74.763,23,29,52,24.965960835911815,-23.912790177754246
36,G-H,0.816569,0.192843,0.8485108116478788,0.03194181164787879,2.003e-05,67.228,22,29,51,24.84069624576939,-22.524367397310996
36,Smile,0.820192,0.193666,0.8485108116478788,0.02831881164787875,1.961e-05,67.927,24,29,53,25.301539303007957,-23.481014335288148
37,ET(旧),0.864862,0.193241,0.9247289856368675,0.05986698563686743,2.996e-05,40.242,26,31,57,19.946933765810442,-20.116819245399753
37,G-H,0.875702,0.19747,0.9247289856368675,0.04902698563686747,3.086e-05,38.441,25,31,56,20.03040750620302,-19.404530020088032
37,Smile,0.874703,0.19741,0.9247289856368675,0.05002598563686744,3.071e-05,38.76,26,31,57,19.992254937207917,-19.757561748232707
38,ET(旧),0.816617,0.172753,0.8856090057296748,0.06899200572967479,3.691e-05,51.204,19,22,41,27.87006094223536,-26.88696361372039
38,G-H,0.827355,0.17706,0.8856090057296748,0.058254005729674874,3.979e-05,47.402,17,22,39,27.220674443282643,-26.236352803713554
38,Smile,0.825016,0.176569,0.8856090057296748,0.060593005729674854,3.961e-05,47.64,19,24,43,28.257190283836962,-27.77981367536266
39,ET(旧),0.792557,0.189364,0.8477143342134827,0.05515733421348279,1.864e-05,73.807,8,7,15,4.595371483897281,-4.993767593621088
39,G-H,0.806293,0.195142,0.8477143342134827,0.04142133421348271,2.049e-05,71.208,10,8,18,7.427528185953506,-2.5564362866652894
39,Smile,0.814727,0.197042,0.8477143342134827,0.032987334213482766,1.816e-05,74.494,8,9,17,5.191815607409151,-5.253407028361134
40,ET(旧),0.74702,0.192863,0.8291057032396234,0.08208570323962339,3.087e-05,73.609,24,29,53,24.552311845279803,-23.11588906969155
40,G-H,0.776055,0.202285,0.8291057032396234,0.053050703239623354,3.84e-05,67.171,22,29,51,23.67106241053556,-21.254147545462953
40,Smile,0.783719,0.204153,0.8291057032396234,0.04538670323962335,3.452e-05,70.491,25,30,55,24.93440462844933,-22.719701089574247
41,ET(旧),0.758987,0.190191,0.8387317544120667,0.07974475441206674,2.336e-05,76.078,21,27,48,25.632321069916305,-24.582664880716763
41,G-H,0.776189,0.197157,0.8387317544120667,0.06254275441206669,2.772e-05,71.615,20,28,48,25.509846489567497,-23.47615807971633
41,Smile,0.782916,0.198691,0.8387317544120667,0.055815754412066765,2.585e-05,73.534,22,28,50,26.359055645786864,-24.483629534078933
42,ET(旧),0.855131,0.178867,0.9366393903381992,0.08150839033819923,1.699e-05,55.555,27,25,52,6.719845093556615,-7.895022821700543
42,G-H,0.868128,0.18323,0.9366393903381992,0.0685113903381992,1.907e-05,50.114,27,27,54,7.641526137665927,-6.971906878811107
42,Smile,0.873367,0.184339,0.9366393903381992,0.0632723903381992,1.84e-05,51.864,28,24,52,6.565886320350606,-8.565984416809382
43,ET(旧),0.853361,0.175558,0.8853851289612682,0.03202412896126816,1.521e-05,58.241,26,18,44,5.40134740933288,-8.197918947681352
43,G-H,0.867976,0.180126,0.8853851289612682,0.017409128961268228,1.773e-05,51.304,23,22,45,6.8256771604128685,-6.7962963040662485
43,Smile,0.86305,0.179515,0.8853851289612682,0.022335128961268214,1.796e-05,50.668,26,18,44,5.48375999100506,-8.509931876133281
