type,K,T,T_days,expiry,bid,ask,V_market,volume,open_interest,iv,S0,r,V_model,mispricing,mispricing_pct,abs_mispricing
put,755.0,0.2904109589041095,106,2026-11-20,16.45,16.54,16.494999999999997,16,2608,0.1540077886199951,775.6300048828125,0.043,15.205809686929626,1.289190313070371,7.815643001335988,1.289190313070371
put,696.0,0.0986301369863013,36,2026-09-11,1.51,1.54,1.525,16,241,0.2235185070800781,775.6300048828125,0.043,0.23942255951931735,1.2855774404806826,84.30016003152018,1.2855774404806826
call,775.0,0.0986301369863013,36,2026-09-11,16.97,17.32,17.145,5,305,0.16993017578125,775.6300048828125,0.043,18.428241379971155,-1.2832413799711553,-7.48463913660633,1.2832413799711553
call,690.0,0.1945205479452054,71,2026-10-16,92.28,95.12,93.7,6,1181,0.2890085748291014,775.6300048828125,0.043,92.42123947977939,1.2787605202206151,1.3647390824126093,1.2787605202206151
put,698.0,0.0986301369863013,36,2026-09-11,1.54,1.57,1.5550000000000002,2,81,0.2198564343261718,775.6300048828125,0.043,0.2782224795576518,1.2767775204423484,82.10787912812529,1.2767775204423484
call,732.0,0.1945205479452054,71,2026-10-16,56.52,56.98,56.75,1,30,0.2247086807250976,775.6300048828125,0.043,55.47418703795472,1.2758129620452792,2.248128567480668,1.2758129620452792
put,795.0,0.2904109589041095,106,2026-11-20,31.94,32.28,32.11,1,32,0.124734094543457,775.6300048828125,0.043,33.38206234107133,-1.272062341071333,-3.9615768952704236,1.272062341071333
put,724.0,0.0986301369863013,36,2026-09-11,2.78,2.83,2.805,58,38,0.1867146759033203,775.6300048828125,0.043,1.5349307402133334,1.2700692597866667,45.278761489720736,1.2700692597866667
call,712.0,0.1945205479452054,71,2026-10-16,72.16,74.98,73.57,1,11,0.2566602655029296,775.6300048828125,0.043,72.30011992856157,1.269880071438422,1.7260840987337531,1.269880071438422
put,805.0,0.1945205479452054,71,2026-10-16,34.47,35.96,35.215,6,9,0.1248409049987792,775.6300048828125,0.043,36.47792758540879,-1.2629275854087894,-3.586334191136701,1.2629275854087894
put,697.0,0.0986301369863013,36,2026-09-11,1.5,1.54,1.52,4,35,0.2211991943359375,775.6300048828125,0.043,0.25818617815608036,1.2618138218439197,83.01406722657366,1.2618138218439197
call,735.0,0.0986301369863013,36,2026-09-11,46.11,49.47,47.79,2,5,0.2445449081420898,775.6300048828125,0.043,46.52895857134354,1.261041428656462,2.63871401685805,1.261041428656462
call,762.0,0.1945205479452054,71,2026-10-16,32.67,33.12,32.895,235,257,0.1871495470428467,775.6300048828125,0.043,34.1554988716083,-1.2604988716082985,-3.8318859146019104,1.2604988716082985
put,695.0,0.0986301369863013,36,2026-09-11,1.47,1.49,1.48,4,383,0.2241898870849609,775.6300048828125,0.043,0.22186386359898336,1.2581361364010166,85.0091984054741,1.2581361364010166
put,725.0,0.0986301369863013,36,2026-09-11,2.86,2.9,2.88,19,370,0.1854329504394531,775.6300048828125,0.043,1.6252329211533834,1.2547670788466165,43.568301348840855,1.2547670788466165
call,776.0,0.0986301369863013,36,2026-09-11,16.45,16.86,16.655,1,73,0.1702506071472168,775.6300048828125,0.043,17.90796485154158,-1.2529648515415772,-7.5230552479230095,1.2529648515415772
call,710.0,0.1945205479452054,71,2026-10-16,73.91,76.73,75.32,7,973,0.2590253541564942,775.6300048828125,0.043,74.07048866217588,1.2495113378241172,1.6589369859587324,1.2495113378241172
put,835.0,0.3671232876712328,134,2026-12-18,60.41,63.85,62.13,1,0,0.1175320181274414,775.6300048828125,0.043,60.88058536557742,1.2494146344225854,2.010968347694488,1.2494146344225854
call,645.0,0.1945205479452054,71,2026-10-16,135.68,138.98,137.32999999999998,1,231,0.3768067691040039,775.6300048828125,0.043,136.0835826019702,1.2464173980297915,0.907607513310851,1.2464173980297915
call,714.0,0.1945205479452054,71,2026-10-16,70.04,73.53,71.785,1,9,0.2571638005065917,775.6300048828125,0.043,70.54387078435411,1.2411292156458842,1.7289534243168967,1.2411292156458842
put,726.0,0.0986301369863013,36,2026-09-11,2.94,2.98,2.96,60,278,0.1843343286132812,775.6300048828125,0.043,1.7198296438882608,1.2401703561117392,41.89764716593714,1.2401703561117392
put,790.0,0.2904109589041095,106,2026-11-20,29.33,29.46,29.395,18,190,0.1269465968322753,775.6300048828125,0.043,30.629282675579134,-1.2342826755791343,-4.198954501034646,1.2342826755791343
call,732.0,0.0986301369863013,36,2026-09-11,48.59,52.1,50.345,38,66,0.249732844543457,775.6300048828125,0.043,49.11357360543445,1.2314263945655455,2.4459755577823925,1.2314263945655455
put,694.0,0.0986301369863013,36,2026-09-11,1.42,1.45,1.435,17,6662,0.2251664398193359,775.6300048828125,0.043,0.20544501419588634,1.2295549858041137,85.68327427206367,1.2295549858041137
put,693.0,0.0986301369863013,36,2026-09-11,1.39,1.42,1.4049999999999998,1,265,0.2264481652832031,775.6300048828125,0.043,0.19010357291523583,1.214896427084764,86.46949658966292,1.214896427084764
put,727.0,0.0986301369863013,36,2026-09-11,3.01,3.05,3.03,25,46,0.1829915686035156,775.6300048828125,0.043,1.8188632824873423,1.2111367175126575,39.97150882880058,1.2111367175126575
call,635.0,0.1945205479452054,71,2026-10-16,145.69,148.65,147.17000000000002,1,4352,0.3944762701416016,775.6300048828125,0.043,145.95987095083524,1.2101290491647774,0.8222661202451431,1.2101290491647774
call,747.0,0.0191780821917808,7,2026-08-13,30.62,31.04,30.83,4,254,0.2403030072021484,775.6300048828125,0.043,29.6223111533792,1.2076888466207976,3.9172521784651235,1.2076888466207976
put,690.0,0.0986301369863013,36,2026-09-11,1.35,1.36,1.355,114,133,0.2311478253173828,775.6300048828125,0.043,0.14995782823079296,1.205042171769207,88.93300160658355,1.205042171769207
call,870.0,0.1945205479452054,71,2026-10-16,0.89,0.93,0.91,174,333,0.1483849810791015,775.6300048828125,0.043,2.1098484510430424,-1.1998484510430423,-131.85147813659805,1.1998484510430423
put,692.0,0.0986301369863013,36,2026-09-11,1.36,1.39,1.375,13,164,0.2276688562011718,775.6300048828125,0.043,0.17577968997921545,1.1992203100207846,87.21602254696616,1.1992203100207846
put,691.0,0.0986301369863013,36,2026-09-11,1.34,1.37,1.355,17,14,0.2292557543945312,775.6300048828125,0.043,0.16241605217713584,1.1925839478228641,88.01357548508223,1.1925839478228641
put,728.0,0.0986301369863013,36,2026-09-11,3.09,3.13,3.11,1,264,0.1817708776855468,775.6300048828125,0.043,1.92247764891124,1.1875223510887598,38.183998427291314,1.1875223510887598
